iter	Passed	Remaining
0	74	73941
1	94	47077
2	118	39350
3	139	34753
4	153	30596
5	178	29572
6	192	27312
7	214	26621
8	235	25962
9	248	24649
10	260	23388
11	284	23412
12	296	22505
13	310	21890
14	336	22105
15	358	22042
16	387	22389
17	398	21755
18	422	21809
19	447	21941
20	463	21613
21	486	21618
22	508	21605
23	534	21727
24	555	21655
25	584	21908
26	599	21586
27	624	21695
28	648	21710
29	668	21617
30	695	21752
31	726	21970
32	737	21609
33	766	21774
34	793	21873
35	811	21729
36	839	21849
37	862	21835
38	887	21875
39	916	22000
40	947	22173
41	976	22281
42	1006	22409
43	1033	22465
44	1046	22216
45	1069	22181
46	1101	22331
47	1130	22414
48	1144	22212
49	1174	22317
50	1206	22457
51	1237	22552
52	1262	22557
53	1292	22640
54	1319	22672
55	1346	22697
56	1373	22719
57	1401	22758
58	1428	22779
59	1457	22841
60	1487	22905
61	1521	23012
62	1550	23063
63	1584	23176
64	1612	23201
65	1624	22994
66	1638	22813
67	1669	22880
68	1694	22860
69	1724	22917
70	1752	22926
71	1781	22963
72	1800	22862
73	1827	22871
74	1861	22959
75	1901	23113
76	1933	23172
77	1965	23233
78	2003	23352
79	2040	23468
80	2054	23307
81	2085	23348
82	2115	23376
83	2144	23389
84	2160	23252
85	2190	23285
86	2219	23291
87	2252	23348
88	2282	23362
89	2311	23370
90	2341	23388
91	2355	23251
92	2390	23316
93	2418	23309
94	2449	23338
95	2477	23329
96	2516	23430
97	2548	23461
98	2579	23476
99	2602	23422
100	2637	23476
101	2661	23431
102	2691	23435
103	2720	23442
104	2750	23444
105	2779	23442
106	2802	23386
107	2832	23390
108	2845	23256
109	2873	23247
110	2918	23371
111	2953	23413
112	2986	23440
113	3030	23555
114	3063	23576
115	3097	23608
116	3135	23661
117	3169	23690
118	3198	23681
119	3239	23753
120	3276	23802
121	3312	23838
122	3343	23836
123	3369	23801
124	3395	23770
125	3417	23706
126	3442	23666
127	3473	23665
128	3498	23618
129	3526	23602
130	3553	23570
131	3582	23555
132	3613	23558
133	3652	23605
134	3682	23596
135	3713	23593
136	3743	23581
137	3772	23567
138	3807	23582
139	3832	23544
140	3869	23575
141	3894	23532
142	3924	23521
143	3956	23516
144	3980	23468
145	4005	23428
146	4030	23389
147	4059	23369
148	4081	23310
149	4101	23241
150	4123	23183
151	4149	23147
152	4173	23105
153	4196	23053
154	4229	23059
155	4257	23032
156	4287	23020
157	4316	23003
158	4344	22980
159	4376	22977
160	4399	22926
161	4422	22876
162	4446	22831
163	4476	22819
164	4515	22852
165	4547	22848
166	4571	22801
167	4603	22799
168	4630	22771
169	4647	22688
170	4673	22655
171	4701	22634
172	4733	22625
173	4758	22589
174	4787	22568
175	4818	22559
176	4844	22526
177	4872	22500
178	4898	22468
179	4931	22467
180	4959	22439
181	4993	22443
182	5027	22443
183	5052	22406
184	5075	22360
185	5087	22264
186	5113	22230
187	5141	22205
188	5167	22172
189	5184	22101
190	5210	22068
191	5231	22015
192	5257	21983
193	5286	21963
194	5316	21946
195	5340	21906
196	5365	21868
197	5395	21853
198	5425	21838
199	5454	21818
200	5481	21789
201	5516	21791
202	5546	21774
203	5571	21740
204	5604	21734
205	5625	21680
206	5650	21647
207	5678	21621
208	5701	21578
209	5721	21522
210	5749	21500
211	5778	21479
212	5803	21441
213	5829	21410
214	5852	21368
215	5876	21329
216	5897	21281
217	5911	21205
218	5936	21170
219	5963	21144
220	5988	21110
221	6014	21076
222	6040	21046
223	6070	21030
224	6096	21000
225	6126	20980
226	6152	20949
227	6178	20918
228	6203	20886
229	6225	20843
230	6251	20810
231	6280	20790
232	6305	20757
233	6329	20720
234	6353	20681
235	6376	20642
236	6403	20615
237	6423	20565
238	6444	20518
239	6470	20489
240	6498	20466
241	6527	20445
242	6558	20431
243	6586	20408
244	6620	20400
245	6647	20375
246	6671	20339
247	6702	20322
248	6732	20304
249	6761	20285
250	6790	20264
251	6824	20257
252	6855	20241
253	6880	20207
254	6907	20179
255	6933	20149
256	6964	20134
257	6991	20107
258	7021	20089
259	7048	20061
260	7078	20041
261	7101	20003
262	7140	20009
263	7176	20007
264	7211	20001
265	7233	19960
266	7265	19947
267	7299	19937
268	7335	19935
269	7368	19921
270	7401	19909
271	7430	19886
272	7454	19850
273	7484	19832
274	7513	19807
275	7540	19780
276	7570	19760
277	7604	19750
278	7634	19729
279	7660	19698
280	7688	19671
281	7714	19642
282	7740	19612
283	7769	19588
284	7800	19568
285	7829	19546
286	7854	19513
287	7884	19491
288	7907	19454
289	7930	19416
290	7956	19384
291	7975	19338
292	7996	19294
293	8021	19261
294	8050	19239
295	8072	19198
296	8092	19156
297	8120	19129
298	8149	19105
299	8177	19080
300	8212	19071
301	8244	19055
302	8279	19044
303	8318	19044
304	8351	19031
305	8380	19006
306	8411	18987
307	8446	18978
308	8477	18957
309	8500	18920
310	8525	18888
311	8553	18860
312	8579	18830
313	8608	18807
314	8631	18769
315	8652	18729
316	8679	18701
317	8706	18671
318	8734	18646
319	8761	18619
320	8794	18602
321	8819	18570
322	8840	18529
323	8878	18525
324	8915	18517
325	8946	18496
326	8979	18480
327	9007	18453
328	9042	18441
329	9068	18410
330	9093	18380
331	9124	18359
332	9153	18334
333	9178	18302
334	9209	18280
335	9242	18265
336	9274	18245
337	9308	18230
338	9336	18203
339	9362	18173
340	9389	18145
341	9411	18108
342	9445	18092
343	9470	18059
344	9508	18051
345	9539	18031
346	9565	18001
347	9591	17970
348	9618	17942
349	9647	17916
350	9672	17885
351	9701	17859
352	9727	17829
353	9750	17793
354	9776	17763
355	9800	17729
356	9829	17704
357	9858	17679
358	9888	17656
359	9920	17636
360	9952	17616
361	9980	17589
362	10006	17559
363	10044	17550
364	10074	17526
365	10107	17507
366	10132	17476
367	10154	17438
368	10179	17407
369	10211	17387
370	10241	17363
371	10265	17329
372	10300	17314
373	10325	17282
374	10356	17260
375	10383	17231
376	10408	17200
377	10435	17171
378	10463	17145
379	10489	17114
380	10515	17083
381	10542	17054
382	10572	17032
383	10598	17002
384	10628	16977
385	10654	16948
386	10685	16926
387	10711	16895
388	10739	16868
389	10761	16832
390	10788	16803
391	10811	16769
392	10834	16734
393	10860	16704
394	10885	16672
395	10911	16642
396	10933	16606
397	10964	16585
398	10991	16555
399	11014	16521
400	11044	16497
401	11068	16464
402	11090	16429
403	11118	16402
404	11140	16366
405	11165	16335
406	11189	16302
407	11216	16275
408	11242	16245
409	11274	16224
410	11308	16205
411	11340	16185
412	11367	16157
413	11401	16137
414	11433	16117
415	11470	16103
416	11502	16081
417	11530	16054
418	11556	16024
419	11588	16003
420	11613	15972
421	11641	15944
422	11666	15914
423	11692	15884
424	11717	15852
425	11741	15820
426	11769	15794
427	11800	15770
428	11825	15740
429	11853	15712
430	11879	15683
431	11908	15657
432	11937	15631
433	11965	15604
434	11990	15573
435	12022	15552
436	12047	15521
437	12074	15492
438	12102	15466
439	12128	15436
440	12158	15411
441	12185	15383
442	12212	15355
443	12240	15328
444	12262	15293
445	12289	15265
446	12310	15229
447	12339	15204
448	12365	15174
449	12388	15142
450	12414	15112
451	12453	15098
452	12473	15061
453	12504	15038
454	12536	15015
455	12559	14983
456	12586	14954
457	12615	14929
458	12643	14901
459	12666	14868
460	12695	14843
461	12719	14812
462	12746	14784
463	12772	14754
464	12797	14724
465	12831	14703
466	12862	14680
467	12900	14664
468	12930	14639
469	12966	14621
470	13013	14615
471	13066	14616
472	13099	14594
473	13143	14585
474	13175	14562
475	13212	14545
476	13248	14526
477	13287	14510
478	13317	14484
479	13359	14472
480	13391	14449
481	13417	14419
482	13446	14393
483	13483	14374
484	13518	14354
485	13559	14341
486	13608	14334
487	13651	14322
488	13703	14320
489	13740	14301
490	13773	14278
491	13797	14246
492	13824	14216
493	13851	14188
494	13886	14167
495	13916	14140
496	13944	14112
497	13978	14090
498	14009	14065
499	14043	14043
500	14075	14019
501	14106	13994
502	14136	13967
503	14159	13934
504	14189	13908
505	14223	13886
506	14257	13863
507	14301	13850
508	14334	13827
509	14360	13797
510	14390	13770
511	14421	13745
512	14455	13723
513	14486	13697
514	14518	13672
515	14550	13648
516	14585	13626
517	14619	13603
518	14657	13584
519	14690	13560
520	14727	13540
521	14762	13518
522	14795	13493
523	14842	13483
524	14874	13458
525	14915	13440
526	14964	13431
527	15017	13424
528	15056	13405
529	15093	13385
530	15135	13367
531	15168	13343
532	15184	13304
533	15223	13285
534	15256	13260
535	15284	13231
536	15314	13204
537	15350	13182
538	15382	13156
539	15411	13128
540	15450	13108
541	15488	13087
542	15513	13056
543	15548	13033
544	15589	13014
545	15624	12991
546	15656	12965
547	15682	12934
548	15715	12909
549	15753	12889
550	15789	12866
551	15825	12844
552	15860	12820
553	15886	12789
554	15910	12756
555	15940	12729
556	15967	12699
557	15994	12669
558	16014	12634
559	16041	12604
560	16070	12575
561	16092	12541
562	16125	12516
563	16155	12489
564	16182	12459
565	16213	12432
566	16243	12404
567	16271	12375
568	16304	12349
569	16328	12318
570	16354	12287
571	16383	12258
572	16406	12226
573	16437	12199
574	16458	12165
575	16488	12137
576	16511	12104
577	16532	12070
578	16564	12044
579	16589	12013
580	16612	11980
581	16641	11952
582	16671	11924
583	16704	11898
584	16733	11871
585	16765	11844
586	16795	11816
587	16821	11786
588	16854	11760
589	16885	11734
590	16920	11709
591	16951	11682
592	16985	11657
593	17018	11632
594	17046	11602
595	17076	11575
596	17105	11546
597	17128	11514
598	17156	11485
599	17180	11453
600	17202	11420
601	17228	11390
602	17254	11360
603	17282	11331
604	17311	11302
605	17338	11272
606	17367	11244
607	17398	11217
608	17423	11186
609	17455	11160
610	17491	11135
611	17519	11107
612	17549	11079
613	17580	11052
614	17609	11023
615	17640	10996
616	17662	10964
617	17683	10930
618	17707	10898
619	17730	10867
620	17756	10836
621	17780	10805
622	17803	10773
623	17829	10743
624	17849	10709
625	17878	10681
626	17906	10652
627	17931	10621
628	17959	10593
629	17992	10566
630	18014	10534
631	18032	10500
632	18059	10470
633	18089	10442
634	18119	10415
635	18148	10386
636	18175	10357
637	18202	10327
638	18231	10299
639	18256	10269
640	18286	10241
641	18311	10211
642	18336	10180
643	18364	10151
644	18400	10127
645	18433	10101
646	18465	10074
647	18496	10047
648	18524	10018
649	18553	9990
650	18587	9964
651	18616	9936
652	18643	9906
653	18673	9879
654	18698	9848
655	18734	9823
656	18766	9797
657	18797	9770
658	18829	9743
659	18857	9714
660	18890	9688
661	18916	9658
662	18947	9630
663	18976	9602
664	19003	9573
665	19032	9545
666	19055	9513
667	19079	9482
668	19106	9453
669	19132	9423
670	19162	9395
671	19193	9368
672	19220	9338
673	19245	9308
674	19271	9278
675	19298	9249
676	19321	9218
677	19342	9186
678	19364	9154
679	19390	9125
680	19412	9093
681	19436	9062
682	19458	9031
683	19481	9000
684	19510	8972
685	19540	8943
686	19566	8914
687	19592	8885
688	19623	8857
689	19646	8826
690	19671	8796
691	19697	8767
692	19721	8736
693	19749	8707
694	19774	8678
695	19799	8648
696	19822	8617
697	19847	8587
698	19872	8557
699	19898	8528
700	19927	8499
701	19962	8474
702	19989	8445
703	20020	8417
704	20050	8389
705	20080	8362
706	20105	8332
707	20129	8302
708	20157	8273
709	20187	8245
710	20215	8217
711	20250	8191
712	20293	8168
713	20333	8144
714	20380	8123
715	20418	8099
716	20454	8073
717	20491	8048
718	20526	8022
719	20561	7995
720	20591	7968
721	20631	7944
722	20674	7921
723	20717	7897
